股票代码,收益率,最大回撤,收益率/最大回撤,不择时收益率,不择时最大回撤,不择时收益率/最大回撤
LOW,609.5316004027151,-34.35140381203831,17.74400847598278,837.9784102060846,-51.059941520467824,16.411660202747658
LVMUY,331.0118779526748,-44.99329658870849,7.356915430725419,770.8962264150931,-81.22448979591837,9.490933440788835
MA,1672.2503202897467,-26.113857752614912,64.03689321323257,3558.0156657963485,-62.75000000000001,56.701444873248576
MCD,467.4518377708563,-17.590278558322836,26.57444202608614,596.1697247706413,-38.00587836310198,15.68625040250176
MDT,381.36645876905334,-21.673003802281364,17.596382220396674,209.62675535846307,-56.887709991158275,3.6849216709732935
MRK,216.71885307208308,-23.916672023405205,9.061413429928663,174.64618362162764,-61.19827586206896,2.853776207931935
MS,582.0570047063692,-45.7700320547334,12.716989230209084,155.71820677035785,-85.62091503267973,1.8186935599896759
MSFT,793.2968550321665,-29.285232485259726,27.088630948429735,1135.545023696684,-52.358490566037716,21.68788693907181
NEE,598.3674481342025,-17.901450718536683,33.425640052434524,742.1637186343082,-35.63177662816245,20.828703726429428
NFLX,2284.00552787012,-69.23480459698754,32.98926805910995,15321.182266009808,-79.0415937542065,193.83696024214382
NKE,755.2592981505142,-20.89033686568844,36.15352413923961,1433.041301627028,-44.94863013698627,31.881756958102283
NSRGY,171.87802204520355,-20.46215566467392,8.399800336869472,369.6207865168531,-41.3820180604633,8.93191786772699
NVDA,10096.789728053991,-52.89292368573564,190.89112539976554,5322.847682119198,-83.71065709552734,63.58626089919437
NVO,1103.583031292325,-36.99542566747528,29.830256346058093,1351.354679802957,-46.2821167262209,29.198203872066074
NVS,198.4748783969443,-26.263795087525455,7.556976352256652,157.93386812756788,-44.38238853206739,3.558480589963217
ORCL,307.2605448331205,-24.169094430536486,12.712952308420443,500.49944506104526,-41.081311196253736,12.18314193210772
PEP,129.0574353639044,-18.869357726854798,6.8395245472626955,139.46395563770793,-29.294509830600713,4.760754026750277
PFE,205.38744435743976,-28.138311684254823,7.299209940600917,202.00945626477568,-47.59550561797753,4.244296885638582
PG,198.37158277158844,-24.485170035256097,8.10170329574816,239.84227129337538,-39.60355434039644,6.056079442564863
PM,198.81591529902013,-34.488119996893715,5.764765238491607,184.69325774448276,-42.198391420911506,4.3767843163082665
PNGAY,176.33758915042327,-49.734752208588205,3.545560826579795,160.60935799782376,-58.93004115226341,2.7254241615552477
PTR,51.1104002972528,-47.01719750779188,1.087057566303959,35.27368177256231,-78.14134626398382,0.4514086774675948
PYPL,313.2150300718949,-39.771724651979824,7.875319283050079,522.2555162081183,-41.87923378601756,12.470512685991082
QCOM,267.4246908737239,-32.35194714792314,8.266108053743263,477.7777777777767,-48.18165690970376,9.91617574864995
QQQ,794.9082163570467,-15.00358140678636,52.98123126772232,906.8596171376454,-51.36060894386295,17.656714664906744
RHHBY,234.51436840255528,-21.859606470634287,10.728206325104559,231.17305458768976,-46.84317718940936,4.935042165328508
RY,254.54767349347725,-34.28120172212126,7.425284433048932,218.60169491525437,-60.07744433688287,3.638665015266802
SAP,219.624803415937,-34.578187114224335,6.351541874952448,259.30769230769255,-49.643947100712104,5.223349621689791
SCHW,1202.0043802553557,-30.44820826163086,39.47701519665625,431.9620253164552,-44.73007712082262,9.657082060235695
SE,328.6723362151139,-50.74499981332252,6.476940337456159,1575.3731343283637,-35.6965174129353,44.13240418118485
SHOP,4825.452979060419,-39.33371844163504,122.6798067978399,8977.941176470611,-52.10604558969276,172.30133422841365
SIEGY,248.51018370418507,-32.14904375703501,7.729940137015891,177.084446270803,-71.60704145371948,2.4730032504590334
SONY,741.9311305921749,-39.710305146466695,18.683591774368164,299.09003831417556,-69.71098265895952,4.290429239498539
SPY,384.44659150066303,-15.053042121019777,25.539461619112142,330.2058367404481,-52.38727717581266,6.30316852758488
T,63.80476439645221,-27.024941263275327,2.360958485528982,64.96062992125977,-47.20979514951734,1.3759989789306235
TCEHY,1253.9564363385373,-40.05043138268969,31.30943645417296,4137.11911357341,-47.2563976377953,87.54622274179812
TM,190.12224603193664,-25.655265130069726,7.4106521631343565,150.91040928134063,-49.853448275862064,3.0270806634334284
TMO,1034.454131509528,-25.239561243793872,40.98542448965466,1420.3213396696117,-53.90749601275917,26.3473810642854
TMUS,273.8124022043975,-74.34917910574863,3.6827898505099497,211.73357664233575,-70.50053248136317,3.0032904602289006
TSLA,9418.971147492628,-53.72580535265386,175.31558783841228,21863.59832635967,-60.62620922691229,360.6294803049356
TSM,549.2680212463124,-34.65614889702272,15.849078409675796,1172.4700239808105,-50.59422750424448,23.173988057875754
TXN,379.31180689278455,-20.425902557005713,18.5701369050489,668.7951604772303,-30.35381750465549,22.033312955599555
UNH,870.6582698464485,-33.706326235269756,25.830707973608995,927.7900663583381,-72.40562045031317,12.813785181151987
UNP,737.7166479049791,-30.436583696019813,24.23782692804154,1072.7469202507048,-59.92848629320622,17.900450797341705
UPS,202.50941431316875,-28.054246638317426,7.218494116914714,268.6535947712409,-48.748829118158696,5.510975332762787
V,835.5444866470352,-27.767884554069376,30.090318368331967,1469.946902654867,-52.067796610169495,28.231402101769905
VZ,127.31066704648741,-23.56699557614974,5.402074551044101,151.89569908586856,-45.341107871720055,3.35006589419065
WFC,314.030054024384,-43.42237708098749,7.231986711337419,140.99009900990157,-79.59798994974875,1.7712771277127783
WMT,198.2250221280745,-33.35830017486367,5.942299850081753,302.09104770202464,-37.636785674809325,8.026483725580666
XOM,104.11801986964608,-34.993431879037594,2.975358925342123,80.59180772709642,-62.281122571360015,1.2940005638908727
